frame,x,y,confidence
52656,,,
52657,,,
52658,,,
52659,,,
52660,,,
52661,,,
52662,,,
52663,,,
52664,,,
52665,,,
52666,,,
52667,,,
52668,,,
52669,868,51,0.413792
52670,868,51,0.396627
52671,868,51,0.362881
52672,868,51,0.381812
52673,868,51,0.376660
52674,868,51,0.403879
52675,868,51,0.377910
52676,868,51,0.378336
52677,868,51,0.376017
52678,868,51,0.413635
52679,868,51,0.408004
52680,868,51,0.398631
52681,868,51,0.371782
52682,868,50,0.400335
52683,868,50,0.506816
52684,868,50,0.596592
52685,868,50,0.687280
52686,868,50,0.645218
52687,868,50,0.597334
52688,868,50,0.589423
52689,868,50,0.624002
52690,868,50,0.601916
52691,868,50,0.515259
52692,868,50,0.487541
52693,867,50,0.520240
52694,868,50,0.501577
52695,868,51,0.564613
52696,868,51,0.590968
52697,868,51,0.570884
52698,868,51,0.509113
52699,868,51,0.517921
52700,868,51,0.542549
52701,868,51,0.530374
52702,868,51,0.502096
52703,868,51,0.530740
52704,868,51,0.498687
52705,868,51,0.580868
52706,867,51,0.537180
52707,867,51,0.521123
52708,868,51,0.542977
52709,868,51,0.545659
52710,868,51,0.526498
52711,868,51,0.521345
52712,868,51,0.519737
52713,868,51,0.536207
52714,868,50,0.583031
52715,868,50,0.591381
52716,868,51,0.603179
52717,868,51,0.609269
52718,868,51,0.626286
52719,868,51,0.605734
52720,868,51,0.607822
52721,868,51,0.625500
52722,868,51,0.644276
52723,868,51,0.622780
52724,868,51,0.597312
52725,868,51,0.619067
52726,868,51,0.636549
52727,868,51,0.639239
52728,868,51,0.631984
52729,868,51,0.626841
52730,868,51,0.658311
52731,868,51,0.582213
52732,868,51,0.548501
52733,868,51,0.552216
52734,868,51,0.536722
52735,868,51,0.577121
52736,868,51,0.587592
52737,868,51,0.574416
52738,868,51,0.637116
52739,868,51,0.597090
52740,868,51,0.617175
52741,868,51,0.619471
52742,868,51,0.624583
52743,868,50,0.350799
52744,,,
52745,,,
52746,868,50,0.368143
52747,868,50,0.420332
52748,868,50,0.396195
52749,868,50,0.417899
52750,868,50,0.386410
52751,868,50,0.426766
52752,868,50,0.381544
52753,868,50,0.376570
52754,868,50,0.366219
52755,868,50,0.384774
52756,868,50,0.377962
52757,868,50,0.398349
52758,868,50,0.413998
52759,,,
52760,867,50,0.350702
52761,867,50,0.351443
52762,,,
52763,,,
52764,867,50,0.351706
52765,867,50,0.352791
52766,,,
52767,868,50,0.354991
52768,868,50,0.386565
52769,868,50,0.379330
52770,868,50,0.380954
52771,,,
52772,,,
52773,,,
52774,,,
52775,,,
52776,,,
52777,,,
52778,,,
52779,,,
52780,,,
52781,,,
52782,,,
52783,,,
52784,,,
52785,868,50,0.350841
52786,,,
52787,,,
52788,,,
52789,,,
52790,,,
52791,,,
52792,,,
52793,,,
52794,,,
52795,,,
52796,,,
52797,,,
52798,,,
52799,,,
52800,,,
52801,,,
52802,,,
52803,,,
52804,192,469,0.994753
52805,192,470,0.992878
52806,,,
52807,,,
52808,,,
52809,,,
52810,,,
52811,,,
52812,,,
52813,,,
52814,,,
52815,,,
52816,,,
52817,,,
52818,,,
52819,,,
52820,,,
52821,,,
52822,,,
52823,,,
52824,868,51,0.527734
52825,868,51,0.511582
52826,868,51,0.528516
52827,868,51,0.501753
52828,868,51,0.529789
52829,868,51,0.549148
52830,868,51,0.538983
52831,868,51,0.542781
52832,868,51,0.487258
52833,868,51,0.457499
52834,868,50,0.440276
52835,868,51,0.444718
52836,868,50,0.406637
52837,868,50,0.418564
52838,868,50,0.383427
52839,868,51,0.385648
52840,868,51,0.391046
52841,868,51,0.372726
52842,868,51,0.395205
52843,868,51,0.404662
52844,868,51,0.378671
52845,868,51,0.369467
52846,868,51,0.433948
52847,868,51,0.435375
52848,868,51,0.444145
52849,868,51,0.440968
52850,868,51,0.470603
52851,868,51,0.463786
52852,868,51,0.453473
52853,868,51,0.466699
52854,868,51,0.465646
52855,868,51,0.471640
52856,868,51,0.461544
52857,868,51,0.459788
